CATEGORY,,PACKTYPE,,CYLINDER COMPANY,,PRINTING COMPANY
,,,,,,
BAKERY,,BAG,,BANGLA-SHANGHAI PLATE MAKING LTD.,,AFBL FOOD PARK
BEVERAGE,,BOX,,DIGITAL ENGRAVERS LTD.,,AKIJ PRINTING & PACKAGES LTD.
CONDIMENTS,,BRICK,,MASTER PLATE MAKING (BD) CO. LTD.,,ANNAN PACK LIMITED
CONFECTIONARY,,CAN,,PRINTO PACK SYNDICATE ,,ARBAB PACK LIMITED
DAIRY,,CHASE,,,,BENGAL PRINTING & PACKAGING
DRINKING WATER,,CLUSTER,,,,FRESH PACK INDUSTRIES
FRUIT DRINK,,COMBIFIT,,,,MAHTAB FLEXIBLE PRINTING PRESS
GRAINS,,CONTAINER ,,,,PREMIAFLEX PLASTICS LTD.
MEAT,,CUP,,,,SHAJINAZ EXIM PACK LTD.
PERSONAL CARE,,FAT CAN,,,,TAMPACO FOILS LTD
SNACKS,,FOIL,,,,
,,GLASS BOTTLE,,,,
,,GLASS JAR,,,,
,,MASTER CARTON,,,,
,,PET,,,,
,,PILLOW,,,,
,,PLASTIC JAR,,,,
,,POLY,,,,
,,POUCH,,,,
,,PRISMA,,,,
,,SASSY,,,,
,,SHRINK,,,,
,,STANDING POUCH,,,,
,,TIN CONTAINER ,,,,
,,UHT POUCH,,,,
,,WRAPPER,,,,
