SL,CATEGORY,Brand,TYPE/FLAVOUR,ORIGINE,SKU,PACK TYPE,CODE,VERSION,DATE,BARCODE,CYLINDER COMPANY,PRINTING COMPANY,,,,,,,,,
0,CONDIMENTS,MOJO,COLA,COMMON,250ML,CAN,MQC,MQCV02,2024-07-02,89411896 00020,,,,,,,,,,,
0,BEVERAGE,MOJO,COLA,,250ML,PET,MQP,MQPV02,,89411896 00044,,,,,,,,,,,
0,BEVERAGE,MOJO,COLA,,500ML,PET,MHP,MHPV02,,89411896 0006,,,,,,,,,,,
0,BEVERAGE,MOJO,COLA,LOCAL,1000ML,PET,MOP,MOPVN01,,89411896 0007,,,,,,,,,,,
0,BEVERAGE,MOJO,COLA,LOCAL,2000ML,PET,MTP,,,89411896 0008,,,,,,,,,,,
0,BEVERAGE,MOJO ,NAGA,,250ML,CAN,MNQC,,,89411896 0060,,,,,,,,,,,
0,BEVERAGE,MOJO,ZERO,LOCAL,250ML,CAN,MZQC,MZQCVN01,,89411896 00013,,,,,,,,,,,
0,BEVERAGE,CLEMON,LEMON,COMMON,250ML,CAN,CQC,CQCV3,2025-02-16,89411896 00099,,,, ,,,,,,,
0,BEVERAGE,CLEMON,LEMON,,250ML,PET,CQP,CQPV01,,89411896 00112,,,,,,,,,,,
0,BEVERAGE,CLEMON,LEMON,,500ML,PET,CHP,CHPV01,,89411896 00136,,,,,,,,,,,
0,BEVERAGE,CLEMON,LEMON,LOCAL,1000ML,PET,COP,COPVN01,,89411896 00143,,,,,,,,,,,
0,BEVERAGE,CLEMON,LEMON,LOCAL,2000ML,PET,CTP,CTPVN01,,89411896 00150,,,,,,,,,,,
0,BEVERAGE,CLEAR UP,LEMON,LOCAL,250ML,PET,CUQP,CUQPV2,2025-01-23,89411896 00525,PRINTO PACK SYNDICATE ,AFBL FOOD PARK,,,,,,,,,
0,BEVERAGE,CLEAR UP,LEMON,,500ML,PET,CUHP,CULP500V2,2025-01-23,89411896 00532,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,,250ML,PET,SPQP,,,     89411896 0397,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,,330ML,PET,SPSP,,,89411896 0391,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,,500ML,PET,SPHP,,,89411896 03922,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,,1500ML,PET,SPFP,,,89411896 03946,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,,2250ML,PET,SPTP,,,89411896 0395,,,,,,,,,,,
0,DRINKING WATER,SPA,DRINKING WATER,COMMON,5000ML,PET,SPJP,SPJPV1,2024-09-29,89411896 03960,BANGLA-SHANGHAI PLATE MAKING LTD.,AFBL FOOD PARK,,,,,,,,,
0,DRINKING WATER,RIVERA,DRINKING WATER,,500ML,PET,RHP,,,89411896 04028,,,,,,,,,,,
0,DRINKING WATER,RIVERA,DRINKING WATER,LOCAL,1000ML,PET,ROP,ROPVN01,,89411896 04035,,,,,,,,,,,
0,DRINKING WATER,RIVERA,DRINKING WATER,,1500ML,PET,RFP,,,89411896 0404,,,,,,,,,,,
0,DRINKING WATER,RIVERA,DRINKING WATER,,2000ML,PET,RTP,RTPVN01,,89411896 04059,,,,,,,,,,,
0,DRINKING WATER,PH+,DRINKING WATER,,500ML,PET,PHHP,,,89411896 0399,,,,,,,,,,,
0,BEVERAGE,SPEED,CARBONATED,LOCAL,250ML,CAN,SQC,SQC250V3,2024-06-26,89411896 00273,,,,,,,,,,,
0,BEVERAGE,SPEED,CARBONATED,LOCAL,250ML,PET,SQP,SQPLOCV2,2025-03-03,89411896 00266,BANGLA-SHANGHAI PLATE MAKING LTD.,AFBL FOOD PARK,,,,,,,,,
0,BEVERAGE,HOUSTON,CARBONATED,COMMON,250ML,CAN,HQC,HQCV2,2025-01-15,89411896 00570,,,,,,,,,,,
0,BEVERAGE,HOUSTON,CARBONATED,LOCAL,250ML,PET,HQP,HQPV2,2025-01-15,89411896 0058,,AFBL FOOD PARK,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK (LITTLE),LOCAL,125ML,BRICK,FLT,FLTVN03,2024-04-17,89411896 05766,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,LOCAL,200ML,BRICK,FQS,FQS,,89411896 05773,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,LOCAL,250ML,PET,FQP,FQPVN05,,8941189605711,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,LOCAL,250ML,PRISMA,FQT,FQT,,89411896 0578,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,LOCAL,500ML,PET,FHP,FHPVN01,,89411896 0572,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,LOCAL,1000ML,PET,FOP,FOPVN01,,89411896 05735,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,RED GRAPE,LOCAL,250ML,PET,FRGQP,FRGQPV1,2024-06-24,89411896 05742,,,,,,,,,,,
0,FRUIT DRINK,FRUTIKA,PULPY ORANGE,LOCAL,250ML,PET,FPOQP,FPOQPVN01,2023-09-03,8941189607715,,,,,,,,,,,
0,BEVERAGE,TWING,ORANGE,,250ML,PET,TQP,TQPV01,,89411896 00181,,,,,,,,,,,
0,BEVERAGE,TWING,ORANGE,LOCAL,500ML,PET,THP,THPV01,,89411896 00204,,,,,,,,,,,
0,BEVERAGE,LEMU,CLOUDY LEMON,COMMON,250ML,CAN,LQC,LQCV01,2024-09-02,    89411896 00235,,,,,,,,,,,
0,BEVERAGE,LEMU,CLOUDY LEMON,LOCAL,250ML,PET,LQP,LQPLOCV2,2025-03-18,89411896 00242,BANGLA-SHANGHAI PLATE MAKING LTD.,AFBL FOOD PARK,,,,,,,,,
0,FRUIT DRINK,AAFI,MANGO FRUIT DRINK,LOCAL,250ML,PET,AMQ,AMQVN01,,89411896 05797,,,,,,,,,,,
0,FRUIT DRINK,AAFI,MANGO FRUIT DRINK,LOCAL,500ML,PET,AMH,,,89411896 05803,,,,,,,,,,,
